83,20500,-2043,-1477,2855,911,23842,-25708,-2043,-1477,2855,0,0
84,20750,-1775,-1692,2855,-1358,24928,-24547,-1775,-1692,2855,0,0
85,21000,-1497,-1896,2837,-3619,25861,-23235,-1497,-1896,2837,0,0
86,21250,-1209,-2089,2801,-5857,26635,-21780,-1209,-2089,2801,0,0
87,21500,-914,-2268,2748,-8060,27244,-20191,-914,-2268,2748,0,0
88,21750,-613,-2434,2679,-10213,27685,-18477,-613,-2434,2679,0,0
89,22000,-308,-2585,2592,-12302,27956,-16650,-308,-2585,2592,0,0
90,22250,-2,-2719,2490,-14316,28054,-14719,-2,-2719,2490,0,0
91,22500,305,-2837,2372,-16243,27980,-12697,305,-2837,2372,0,0
92,22750,609,-2938,2240,-18068,27732,-10598,609,-2938,2240,0,0
93,23000,910,-3020,2094,-19782,27314,-8433,910,-3020,2094,0,0
94,23250,1205,-3084,1935,-21374,26728,-6216,1205,-3084,1935,0,0
95,23500,1493,-3129,1764,-22835,25976,-3961,1493,-3129,1764,0,0
96,23750,1772,-3154,1583,-24155,25065,-1682,1772,-3154,1583,0,0
97,24000,2040,-3160,1391,-25325,23999,608,2040,-3160,1391,0,0
98,24250,2295,-3147,1191,-26340,22785,2894,2295,-3147,1191,0,0
99,24500,2536,-3114,984,-27192,21430,5162,2536,-3114,984,0,0
100,24750,2761,-3062,770,-27877,19944,7399,2761,-3062,770,0,0
101,25000,2969,-2991,552,-28389,18334,9590,2969,-2991,552,0,0
102,25250,3159,-2902,330,-28727,16612,11721,3159,-2902,330,0,0
103,25500,3330,-2794,106,-28887,14787,13781,3330,-2794,106,0,0
104,25750,3480,-2670,-118,-28870,12870,15755,3480,-2670,-118,0,0
105,26000,3608,-2529,-341,-28674,10875,17633,3608,-2529,-341,0,0
106,26250,3714,-2372,-563,-28302,8812,19401,3714,-2372,-563,0,0
107,26500,3798,-2201,-781,-27755,6695,21050,3798,-2201,-781,0,0
108,26750,3858,-2016,-994,-27037,4537,22570,3858,-2016,-994,0,0
109,27000,3894,-1819,-1201,-26152,2351,23950,3894,-1819,-1201,0,0
110,27250,3906,-1611,-1401,-25106,150,25182,3906,-1611,-1401,0,0
111,27500,3894,-1392,-1592,-23906,-2051,26260,3894,-1392,-1592,0,0
112,27750,3858,-1166,-1773,-22558,-4240,27175,3858,-1166,-1773,0,0
113,28000,3798,-931,-1944,-21071,-6403,27923,3798,-931,-1944,0,0
114,28250,3715,-692,-2102,-19453,-8526,28498,3715,-692,-2102,0,0
115,28500,3609,-447,-2247,-17717,-10597,28898,3609,-447,-2247,0,0
116,28750,3481,-201,-2379,-15870,-12602,29120,3481,-201,-2379,0,0
117,29000,3332,48,-2495,-13926,-14531,29163,3332,48,-2495,0,0
118,29250,3161,296,-2597,-11896,-16369,29025,3161,296,-2597,0,0
119,29500,2971,541,-2682,-9793,-18106,28708,2971,541,-2682,0,0
120,29750,2763,784,-2751,-7629,-19732,28215,2763,784,-2751,0,0
121,30000,2538,1022,-2803,-5419,-21236,27547,2538,1022,-2803,0,0
122,30250,2297,1253,-2838,-3175,-22609,26710,2297,1253,-2838,0,0
123,30500,2042,1477,-2855,-911,-23842,25708,2042,1477,-2855,0,0
124,30750,1775,1692,-2855,1358,-24929,24548,1775,1692,-2855,0,0
125,31000,1496,1896,-2836,3619,-25862,23236,1496,1896,-2836,0,0
126,31250,1209,2089,-2801,5858,-26635,21781,1209,2089,-2801,0,0
127,31500,913,2268,-2748,8060,-27245,20191,913,2268,-2748,0,0
128,31750,612,2434,-2678,10213,-27686,18478,612,2434,-2678,0,0
129,32000,308,2585,-2592,12303,-27957,16650,308,2585,-2592,0,0
130,32250,1,2719,-2490,14316,-28055,14719,1,2719,-2490,0,0
131,32500,-305,2837,-2372,16242,-27979,12698,-305,2837,-2372,0,0
132,32750,-610,2938,-2240,18067,-27732,10599,-610,2938,-2240,0,0
133,33000,-911,3020,-2094,19782,-27314,8434,-911,3020,-2094,0,0
