116,27500,-2710,-1633,5388,18876,10770,-29368,115,103,-238,17410,12438,-29714
117,27750,-2442,-1930,5346,16988,12934,-29642,101,118,-235,15442,14543,-29847
118,28000,-2164,-2212,5281,14995,15017,-29732,88,131,-231,13379,16558,-29797
119,28250,-1878,-2476,5193,12909,17009,-29639,74,144,-226,11234,18471,-29562
120,28500,-1586,-2721,5083,10744,18895,-29364,59,156,-220,9019,20270,-29145
121,28750,-1291,-2946,4950,8513,20665,-28907,45,166,-213,6749,21944,-28549
122,29000,-992,-3149,4795,6229,22307,-28272,31,175,-205,4437,23482,-27777
123,29250,-693,-3329,4620,3907,23812,-27463,16,183,-196,2097,24876,-26833
124,29500,-396,-3485,4426,1562,25170,-26484,2,190,-186,-255,26117,-25724
125,29750,-101,-3616,4212,-794,26373,-25343,-12,195,-176,-2606,27196,-24457
126,30000,190,-3721,3982,-3145,27414,-24044,-25,199,-165,-4940,28108,-23038
127,30250,474,-3800,3735,-5476,28285,-22598,-38,202,-153,-7245,28846,-21478
128,30500,750,-3853,3473,-7773,28982,-21012,-51,203,-141,-9504,29407,-19785
129,30750,1016,-3878,3198,-10023,29501,-19297,-63,202,-128,-11705,29786,-17970
130,31000,1271,-3877,2911,-12210,29837,-17462,-75,201,-114,-13834,29982,-16045
131,31250,1513,-3848,2614,-14322,29990,-15520,-86,198,-101,-15877,29992,-14020
132,31500,1741,-3793,2308,-16346,29958,-13482,-96,193,-87,-17823,29818,-11910
133,31750,1954,-3712,1996,-18269,29741,-11361,-105,187,-73,-19658,29460,-9725
134,32000,2150,-3605,1679,-20080,29341,-9170,-113,180,-58,-21373,28920,-7481
135,32250,2327,-3472,1359,-21766,28760,-6923,-121,172,-44,-22955,28202,-5191
136,32500,2486,-3316,1038,-23319,28002,-4632,-127,162,-30,-24397,27311,-2869
137,32750,2625,-3136,718,-24727,27071,-2314,-133,152,-16,-25687,26250,-529
138,33000,2744,-2935,400,-25983,25973,20,-137,140,-2,-26820,25028,1815
139,33250,2840,-2712,87,-27079,24715,2353,-141,127,12,-27787,23652,4147
140,33500,2915,-2471,-221,-28008,23305,4671,-143,113,25,-28582,22129,6453
141,33750,2968,-2211,-520,-28764,21751,6961,-144,99,38,-29202,20471,8720
142,34000,2998,-1936,-809,-29343,20063,9208,-145,84,51,-29641,18686,10933
143,34250,3006,-1646,-1087,-29741,18251,11398,-144,68,62,-29898,16786,13078
144,34500,2990,-1343,-1352,-29955,16327,13518,-142,51,73,-29970,14782,15143
145,34750,2952,-1030,-1602,-29985,14302,15555,-139,34,84,-29857,12687,17114
146,35000,2892,-708,-1837,-29829,12189,17495,-134,17,93,-29561,10514,18980
147,35250,2810,-380,-2054,-29490,10001,19328,-129,0,102,-29082,8276,20729
148,35500,2707,-47,-2252,-28969,7751,21042,-123,-18,110,-28424,5987,22350
149,35750,2583,288,-2431,-28270,5454,22626,-116,-35,117,-27591,3661,23833
150,36000,2439,624,-2588,-27396,3123,24071,-108,-53,123,-26587,1313,25169
151,36250,2277,958,-2725,-26353,772,25367,-99,-70,128,-25420,-1044,26351
152,36500,2096,1288,-2839,-25147,-1583,26507,-90,-87,131,-24096,-3394,27369
153,36750,1899,1613,-2929,-23787,-3928,27483,-80,-103,134,-22623,-5723,28219
154,37000,1687,1929,-2997,-22280,-6249,28290,-69,-119,136,-21011,-8017,28895
155,37250,1460,2235,-3040,-20635,-8531,28923,-57,-134,137,-19269,-10261,29393
156,37500,1221,2530,-3060,-18863,-10761,29377,-45,-149,136,-17408,-12442,29709
157,37750,971,2810,-3056,-16975,-12925,29650,-32,-163,135,-15441,-14547,29842
158,38000,711,3076,-3027,-14982,-15009,29740,-20,-176,132,-13377,-16562,29792
159,38250,444,3324,-2975,-12897,-17000,29647,-6,-187,129,-11232,-18475,29557
160,38500,170,3553,-2900,-10732,-18886,29372,7,-198,124,-9017,-20273,29141
161,38750,-108,3762,-2802,-8501,-20656,28915,20,-208,119,-6747,-21947,28545
162,39000,-388,3950,-2682,-6218,-22299,28280,34,-216,112,-4435,-23486,27772
163,39250,-670,4115,-2541,-3896,-23804,27470,47,-223,105,-2095,-24880,26829
164,39500,-950,4257,-2380,-1550,-25162,26492,61,-229,97,257,-26120,25720
165,39750,-1228,4373,-2199,805,-26366,25350,74,-234,88,2608,-27199,24452
166,40000,-1502,4465,-2000,3155,-27406,24051,87,-237,78,4942,-28111,23034
167,40250,-1769,4530,-1785,5486,-28278,22605,99,-239,68,7246,-28850,21474
168,40500,-2029,4569,-1554,7784,-28975,21019,111,-239,57,9506,-29410,19781
169,40750,-2279,4581,-1309,10033,-29494,19303,122,-238,45,11707,-29789,17966
170,41000,-2518,4567,-1053,12220,-29830,17469,133,-236,33,13835,-29985,16041
171,41250,-2744,4526,-785,14332,-29983,15526,143,-232,21,15879,-29995,14017
172,41500,-2957,4458,-509,16356,-29951,13488,153,-227,8,17824,-29821,11906
173,41750,-3154,4365,-225,18279,-29735,11367,161,-221,-5,19660,-29463,9722
174,42000,-3334,4245,63,20089,-29334,9176,169,-213,-18,21374,-28923,7477
