298,74250,-3971,27060,-2322,0,-25959,26008,-59,0,-25959,0
299,74500,-4173,25961,29,0,-27060,24755,2295,0,-27060,0
300,74750,-4348,24702,2379,0,-27994,23349,4635,0,-27994,0
301,75000,-4497,23291,4715,0,-28756,21800,6946,0,-28756,0
302,75250,-4619,21737,7022,0,-29341,20116,9215,0,-29341,0
303,75500,-4711,20048,9286,0,-29744,18308,11426,0,-29744,0
304,75750,-4775,18236,11492,0,-29965,16387,13567,0,-29965,0
305,76000,-4809,16312,13627,0,-30000,14365,15625,0,-30000,0
306,76250,-4814,14286,15679,0,-29851,12255,17586,0,-29851,0
307,76500,-4789,12173,17633,0,-29517,10069,19439,0,-29517,0
308,76750,-4734,9985,19479,0,-29001,7821,21172,0,-29001,0
309,77000,-4650,7735,21205,0,-28307,5524,22774,0,-28307,0
310,77250,-4538,5438,22800,0,-27438,3194,24236,0,-27438,0
311,77500,-4397,3107,24255,0,-26400,844,25548,0,-26400,0
312,77750,-4230,756,25560,0,-25200,-1511,26703,0,-25200,0
313,78000,-4036,-1599,26708,0,-23843,-3857,27694,0,-23843,0
314,78250,-3818,-3944,27690,0,-22340,-6179,28513,0,-22340,0
315,78500,-3576,-6264,28503,0,-20699,-8463,29157,0,-20699,0
316,78750,-3311,-8546,29139,0,-18931,-10695,29621,0,-18931,0
317,79000,-3027,-10776,29596,0,-17046,-12861,29903,0,-17046,0
318,79250,-2724,-12939,29870,0,-15055,-14947,30000,0,-15055,0
319,79500,-2404,-15022,29960,0,-12972,-16942,29912,0,-12972,0
320,79750,-2069,-17012,29865,0,-10809,-18832,29640,0,-10809,0
321,80000,-1721,-18898,29587,0,-8579,-20606,29185,0,-8579,0
322,80250,-1363,-20667,29125,0,-6297,-22253,28550,0,-6297,0
323,80500,-997,-22309,28485,0,-3975,-23762,27739,0,-3975,0
324,80750,-624,-23813,27668,0,-1629,-25125,26757,0,-1629,0
325,81000,-247,-25171,26681,0,727,-26334,25610,0,727,0
326,81250,131,-26373,25530,0,3078,-27380,24305,0,3078,0
327,81500,508,-27412,24221,0,5411,-28257,22850,0,5411,0
328,81750,882,-28283,22763,0,7710,-28960,21255,0,7710,0
329,82000,1251,-28979,21165,0,9962,-29484,19528,0,9962,0
330,82250,1612,-29497,19436,0,12152,-29826,17681,0,12152,0
331,82500,1963,-29832,17587,0,14267,-29985,15725,0,14267,0
332,82750,2302,-29984,15629,0,16295,-29959,13672,0,16295,0
333,83000,2627,-29951,13576,0,18221,-29748,11535,0,18221,0
334,83250,2935,-29733,11439,0,20036,-29354,9327,0,20036,0
335,83500,3226,-29332,9231,0,21727,-28778,7061,0,21727,0
336,83750,3496,-28750,6966,0,23284,-28026,4751,0,23284,0
337,84000,3745,-27991,4658,0,24698,-27100,2412,0,24698,0
338,84250,3971,-27060,2322,0,25959,-26008,59,0,25959,0
339,84500,4173,-25961,-29,0,27060,-24755,-2295,0,27060,0
340,84750,4348,-24702,-2379,0,27994,-23349,-4635,0,27994,0
341,85000,4497,-23291,-4715,0,28756,-21800,-6946,0,28756,0
342,85250,4619,-21737,-7022,0,29341,-20116,-9215,0,29341,0
343,85500,4711,-20048,-9286,0,29744,-18308,-11426,0,29744,0
344,85750,4775,-18236,-11492,0,29965,-16387,-13567,0,29965,0
345,86000,4809,-16312,-13627,0,30000,-14365,-15625,0,30000,0
346,86250,4814,-14286,-15679,0,29851,-12255,-17586,0,29851,0
347,86500,4789,-12173,-17633,0,29517,-10069,-19439,0,29517,0
348,86750,4734,-9985,-19479,0,29001,-7821,-21172,0,29001,0
349,87000,4650,-7735,-21205,0,28307,-5524,-22774,0,28307,0
350,87250,4538,-5438,-22800,0,27438,-3194,-24236,0,27438,0
351,87500,4397,-3107,-24255,0,26400,-844,-25548,0,26400,0
352,87750,4230,-756,-25560,0,25200,1511,-26703,0,25200,0
353,88000,4036,1599,-26708,0,23843,3857,-27694,0,23843,0
354,88250,3818,3944,-27690,0,22340,6179,-28513,0,22340,0
