       129,     32000,  1708,-14400, 12681, -9332, 15107, -5775,0
       130,     32250,  2930,-14928, 11987,-10312, 14986, -4675,0
       131,     32500,  4148,-15370, 11211,-11238, 14769, -3533,0
       132,     32750,  5353,-15721, 10357,-12103, 14457, -2356,0
       133,     33000,  6538,-15979,  9429,-12902, 14050, -1150,0
       134,     33250,  7695,-16140,  8434,-13629, 13550,    77,0
       135,     33500,  8816,-16203,  7375,-14278, 12959,  1316,0
       136,     33750,  9894,-16166,  6260,-14844, 12280,  2561,0
       137,     34000, 10921,-16028,  5096,-15323, 11516,  3803,0
       138,     34250, 11891,-15790,  3888,-15711, 10671,  5035,0
       139,     34500, 12797,-15452,  2644,-16004,  9751,  6249,0
       140,     34750, 13632,-15014,  1371,-16200,  8759,  7436,0
       141,     35000, 14390,-14479,    79,-16296,  7702,  8588,0
       142,     35250, 15066,-13849, -1227,-16291,  6586,  9699,0
       143,     35500, 15655,-13128, -2537,-16183,  5417, 10760,0
       144,     35750, 16152,-12318, -3843,-15973,  4202, 11765,0
       145,     36000, 16553,-11424, -5137,-15661,  2948, 12706,0
       146,     36250, 16854,-10452, -6410,-15247,  1664, 13576,0
       147,     36500, 17053, -9406, -7655,-14734,   356, 14370,0
       148,     36750, 17148, -8292, -8863,-14123,  -966, 15082,0
       149,     37000, 17137, -7117,-10026,-13419, -2296, 15707,0
       150,     37250, 17019, -5888,-11136,-12623, -3623, 16239,0
       151,     37500, 16794, -4611,-12187,-11742, -4941, 16675,0
       152,     37750, 16463, -3295,-13170,-10778, -6240, 17010,0
       153,     38000, 16026, -1948,-14079, -9738, -7512, 17243,0
       154,     38250, 15485,  -578,-14908, -8628, -8749, 17370,0
       155,     38500, 14843,   807,-15651, -7454, -9942, 17389,0
       156,     38750, 14104,  2199,-16302, -6223,-11084, 17300,0
       157,     39000, 13270,  3588,-16856, -4943,-12167, 17103,0
       158,     39250, 12347,  4965,-17310, -3620,-13184, 16797,0
       159,     39500, 11339,  6322,-17659, -2263,-14127, 16383,0
       160,     39750, 10253,  7651,-17900,  -880,-14990, 15864,0
       161,     40000,  9093,  8942,-18031,   520,-15767, 15241,0
       162,     40250,  7868, 10187,-18050,  1928,-16452, 14519,0
       163,     40500,  6584, 11378,-17957,  3336,-17041, 13699,0
       164,     40750,  5249, 12508,-17750,  4735,-17528, 12788,0
       165,     41000,  3871, 13567,-17431,  6116,-17910, 11789,0
       166,     41250,  2459, 14550,-17001,  7470,-18183, 10709,0
